"hhid","h04_sex","h13_did_work","h14_cls_wkr","hgc"
"2862500000000052625",1,1,3,"Grade 1 to Grade 6/7"
"2862600000000052626",1,1,1,"JHS Undergraduate"
"2862700000000052627",1,1,3,"Grade 1 to Grade 6/7"
"2862800000000052628",1,1,3,"JHS Undergraduate"
"2862900000000052629",1,1,3,"Grade 1 to Grade 6/7"
"2863000000000052630",1,1,3,"Grade 1 to Grade 6/7"
"2863100000000052631",1,1,2,"Grade 1 to Grade 6/7"
"2863200000000052632",1,1,3,"Grade 1 to Grade 6/7"
"2863300000000052633",1,1,3,"JHS Undergraduate"
"2863400000000052634",1,1,3,"Grade 1 to Grade 6/7"
"2863500000000052635",1,1,3,"Elementary Graduate"
"2863600000000052636",1,1,3,"Grade 1 to Grade 6/7"
"2863700000000052637",1,1,3,"Grade 1 to Grade 6/7"
"2863800000000052638",1,1,3,"No Grade Completed"
"2864100000000052641",1,1,3,"JHS Graduate"
"2864200000000052642",1,1,3,"No Grade Completed"
"2864300000000052643",1,1,3,"No Grade Completed"
"2864400000000052644",1,1,3,"No Grade Completed"
"2864500000000052645",1,1,3,"Grade 1 to Grade 6/7"
"2864600000000052646",1,1,3,"Grade 1 to Grade 6/7"
"2864700000000052647",1,1,3,"No Grade Completed"
"2864800000000052648",1,1,3,"No Grade Completed"
"2864900000000052649",1,1,3,"Grade 1 to Grade 6/7"
"2865000000000052650",1,1,3,"No Grade Completed"
"2865100000000052651",1,1,3,"Grade 1 to Grade 6/7"
"2865200000000052652",1,1,3,"No Grade Completed"
"2865300000000052653",1,1,3,"Grade 1 to Grade 6/7"
"2865400000000052654",1,1,3,"Grade 1 to Grade 6/7"
"2865500000000052655",1,2,"","No Grade Completed"
"2865700000000052657",1,1,3,"No Grade Completed"
"2865800000000052658",1,1,3,"No Grade Completed"
"2865900000000052659",1,1,3,"Grade 1 to Grade 6/7"
"2866000000000052660",1,1,3,"No Grade Completed"
"2866100000000052661",1,1,3,"No Grade Completed"
"2866200000000052662",1,1,3,"No Grade Completed"
"2866300000000052663",1,1,3,"JHS Graduate"
"2866400000000052664",1,1,3,"No Grade Completed"
"2866500000000052665",1,1,3,"JHS Graduate"
"2866600000000052666",1,1,3,"JHS Undergraduate"
"2866700000000052667",1,1,3,"No Grade Completed"
"2866800000000052668",1,1,3,"Grade 1 to Grade 6/7"
"2866900000000052669",1,1,3,"No Grade Completed"
"2867000000000052670",1,1,3,"No Grade Completed"
"2867100000000052671",1,1,3,"No Grade Completed"
"2867200000000052672",1,1,3,"JHS Undergraduate"
"2867300000000052673",1,1,3,"JHS Undergraduate"
"2867500000000052675",1,1,3,"Grade 1 to Grade 6/7"
"2867600000000052676",1,1,3,"Grade 1 to Grade 6/7"
"2867700000000052677",1,1,1,"Bachelor Level Education Graduate"
"2867800000000052678",1,1,3,"Grade 1 to Grade 6/7"
"2868100000000052681",1,1,3,"Bachelor Level Education Graduate"
"2868200000000052682",1,1,3,"Grade 1 to Grade 6/7"
"2868300000000052683",1,1,3,"Grade 1 to Grade 6/7"
"2868400000000052684",1,1,3,"Grade 1 to Grade 6/7"
"2868600000000052686",1,1,3,"No Grade Completed"
"2868700000000052687",1,1,3,"Grade 1 to Grade 6/7"
"2868800000000052688",1,2,"","Graduate 70000"
"2868900000000052689",1,1,3,"JHS Undergraduate"
"2869100000000052691",1,1,3,"No Grade Completed"
"2869300000000052693",1,1,3,"JHS Undergraduate"
"2869400000000052694",1,2,"","No Grade Completed"
